gender,age,wyr,mstat,stdate,consist,achieve,defer,order,exhib,auto,affi,inter,suco,domi,abas,nurt,chang,endu,heter,agg,rank
1,28,5.1,1,1/8/2018,9,12,19,20,7,11,14,22,12,10,22,19,10,25,2,5,1
1,29,4.1,1,1/8/2019,12,18,16,18,10,10,18,20,10,15,16,22,16,14,4,3,1
1,28,4.5,1,1/3/2019,11,17,15,17,14,9,16,22,12,14,16,16,15,20,2,5,1
2,28,3.8,1,1/12/2019,11,12,12,24,8,8,15,18,11,12,15,21,19,22,2,11,1
1,28,4.7,1,1/1/2019,13,11,17,16,14,3,14,26,12,16,16,23,8,24,4,6,1
1,30,4.1,1,1/8/2019,12,15,11,13,13,11,14,14,17,15,17,24,11,24,2,9,1
1,29,5.8,1,1/12/2017,10,12,8,16,12,7,19,17,17,15,21,21,18,22,4,1,1
1,52,4.1,1,1/10/2019,11,17,15,21,13,3,17,21,9,14,9,21,14,25,4,7,1
1,28,3.9,1,1/11/2019,11,15,13,21,13,5,17,12,15,9,19,21,18,24,7,1,1
1,30,5.2,1,1/7/2018,10,17,10,20,15,11,17,22,12,13,12,17,23,17,3,1,1
1,27,4.8,1,1/12/2018,14,16,17,22,12,6,16,17,15,21,9,17,15,19,5,3,1
1,29,5.4,1,1/5/2018,10,10,14,23,15,9,13,21,10,17,14,18,13,20,3,10,1
1,31,4.1,1,1/8/2019,12,16,15,15,9,17,14,22,11,6,18,17,11,23,8,8,1
1,28,4,1,1/10/2019,12,17,11,13,9,10,18,19,23,8,21,19,15,18,4,5,1
1,27,3.6,1,1/2/2020,9,12,13,12,12,10,17,20,14,18,20,15,14,15,12,6,1
1,28,5.4,1,1/5/2018,10,19,11,26,13,6,17,17,11,10,12,22,22,19,2,3,1
1,33,5.6,1,1/2/2018,12,10,8,14,15,13,14,16,13,19,18,14,14,14,14,14,1
1,28,5.7,1,1/1/2018,10,14,3,15,11,10,15,19,20,18,16,24,15,19,3,8,1
1,33,6.1,1,1/8/2017,13,17,14,18,18,8,19,23,11,16,16,21,5,20,2,2,1
1,30,5.1,1,1/8/2018,10,19,12,24,15,5,12,17,12,16,12,19,11,21,5,10,1
1,27,3.6,1,1/2/2020,11,12,12,13,11,5,15,20,20,16,18,22,11,21,5,9,1
1,25,2.1,1,1/8/2021,12,15,13,22,14,16,18,16,8,12,12,20,12,24,6,2,1
1,30,5.8,1,1/12/2017,13,9,11,17,11,8,18,26,17,11,17,17,17,19,5,7,1
1,28,1.9,1,9/9/2023,12,19,20,17,12,9,11,21,17,27,6,13,5,15,2,16,1
1,29,4.3,1,1/6/2019,11,16,11,19,8,7,15,19,20,11,15,19,12,25,4,9,1
1,29,4.3,1,1/6/2019,14,12,15,24,11,3,16,21,14,11,20,19,12,25,4,3,1
1,26,3.6,1,1/2/2020,7,5,5,9,5,2,2,5,1,0,0,0,0,0,0,0,1
1,30,2.2,1,1/7/2021,13,11,11,15,14,18,12,22,12,15,13,20,22,17,1,7,1
1,29,6.1,1,1/8/2017,14,11,16,15,10,11,16,18,10,20,20,22,11,20,2,8,1
1,27,2.5,1,1/4/2021,10,16,15,19,17,6,15,24,15,15,15,17,12,19,1,4,1
1,27,4.6,1,1/2/2019,15,13,12,14,20,11,18,23,10,10,20,25,15,15,4,0,1
1,30,4.5,1,1/9/2018,15,10,12,16,15,12,14,24,9,15,14,18,23,18,3,7,1
1,28,5.4,1,1/5/2018,7,14,18,17,19,16,13,17,16,16,12,9,15,18,6,4,1
1,27,5.1,1,1/8/2018,12,12,10,18,13,11,14,18,20,23,12,16,9,21,2,11,1
1,29,1.9,1,1/11/2021,11,14,12,24,13,6,15,15,16,13,21,21,16,17,3,4,1
1,32,0.3,1,1/11/2022,9,15,9,17,11,11,14,20,14,7,18,20,12,24,6,12,0
1,32,0.3,1,1/12/2022,15,23,12,15,15,11,6,21,13,19,15,14,10,21,7,8,0
1,48,0.4,2,1/11/2022,13,22,16,25,14,3,12,20,8,12,12,17,15,27,3,4,0
1,25,0.3,1,1/11/2022,11,16,13,17,13,12,13,23,11,16,17,18,16,22,1,2,0
1,26,0.1,1,1/12/2022,11,15,16,28,9,6,16,13,10,16,12,22,14,21,8,4,0
1,24,0.1,1,1/12/2022,9,15,11,21,16,7,17,20,10,6,19,17,11,24,8,8,0
1,30,0.4,1,1/12/2022,12,12,8,20,8,6,21,19,6,20,16,20,15,23,4,12,0
1,25,0.7,1,1/11/2022,11,21,14,17,11,11,15,19,15,8,13,14,18,21,8,5,0
1,33,0.6,1,1/11/2022,12,14,12,22,12,8,16,19,12,8,17,17,20,23,7,3,0
1,27,0.2,3,1/11/2022,9,16,11,15,13,9,16,15,17,11,16,20,26,19,0,6,0
1,25,0.2,1,1/11/2022,11,12,13,15,14,4,18,21,12,11,22,15,17,21,10,5,0
1,32,0.9,1,1/12/2022,13,9,14,9,14,18,27,18,22,12,22,17,10,12,3,3,0
1,29,0.7,1,1/12/2022,12,15,17,20,8,9,17,27,8,15,18,17,8,21,4,6,0
1,26,1.7,1,1/2/2022,11,9,11,16,13,13,12,25,13,13,20,18,23,14,4,6,0
1,30,0.1,1,1/1/2023,11,15,9,16,15,4,21,21,15,18,11,20,9,22,3,11,0
1,27,0.1,1,1/1/2023,12,16,19,15,14,6,22,24,7,13,17,18,16,20,3,0,0
1,27,0.1,1,1/1/2023,12,18,13,24,11,5,16,18,8,18,13,16,18,21,5,6,0
1,32,0.1,1,1/1/2023,12,17,10,19,13,10,15,18,15,17,14,17,8,22,7,8,0
1,25,0.2,1,1/1/2023,13,17,14,22,8,8,16,23,8,9,19,22,12,24,3,5,0
1,32,0.2,1,1/1/2023,11,14,13,20,8,9,15,19,23,5,19,19,15,23,1,7,0
1,26,0.2,1,1/2/2023,13,15,12,20,13,7,17,19,10,14,20,19,13,27,3,1,0
1,30,0.6,1,1/2/2023,13,10,7,9,16,12,23,14,16,16,14,20,25,22,1,5,0
1,24,0.1,1,1/2/2023,10,12,18,16,13,11,19,15,19,8,13,20,18,21,6,1,0
1,25,0.08,1,1/2/2023,11,12,12,24,10,10,21,13,19,9,14,21,19,19,2,5,0
1,25,0.6,1,1/3/2023,13,11,14,19,17,9,14,13,9,9,9,23,25,22,11,5,0
1,29,0.1,1,1/3/2023,11,13,12,17,16,6,16,16,12,16,12,14,15,17,17,11,0
1,27,0.8,1,1/3/2023,12,8,8,18,18,10,16,17,18,17,14,21,11,20,4,10,0
1,27,0.12,1,1/3/2023,11,18,12,19,12,14,15,17,16,19,13,14,7,19,7,8,0
1,25,0.4,1,1/3/2023,13,12,11,26,12,8,16,15,17,12,12,18,16,20,10,5,0
1,31,0.07,1,1/3/2023,12,12,11,20,18,8,20,21,13,8,18,19,16,21,3,2,0
1,27,0.4,1,1/3/2023,12,13,8,20,14,16,18,19,19,12,14,16,14,22,2,3,0
1,27,0.3,1,1/3/2023,11,16,13,21,17,8,12,21,14,12,18,16,10,23,5,4,0
1,30,0.4,1,1/3/2023,9,18,14,25,16,14,17,14,12,15,13,19,7,19,3,4,0
1,28,0.2,1,1/4/2023,12,17,14,15,12,9,21,15,11,11,12,19,16,25,6,7,0
1,28,0.7,1,1/4/2023,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,28,0.5,1,1/4/2023,14,18,13,23,10,6,20,18,11,12,14,19,18,22,2,4,0
1,24,0.3,1,1/6/2023,11,9,17,12,10,10,16,23,15,12,17,25,13,20,3,8,0
1,23,0.2,1,1/4/2023,10,10,14,12,14,9,18,13,24,9,17,19,13,21,11,6,0
1,28,0.2,1,1/4/2023,10,8,17,20,11,5,16,21,13,14,21,25,10,19,4,6,0
1,25,0.4,1,1/4/2023,9,13,14,19,11,4,17,21,17,8,20,23,16,20,5,2,0
